Date,Open,High,Low,Close,Adj Close,Volume
2025-03-10,173.04,206.78,98.06,153.63,167.58,1875336
2025-03-11,118.26,220.58,130.25,195.77,151.0,3493610
2025-03-12,101.43,246.3,141.99,101.04,144.47,1902928
2025-03-13,133.19,232.15,142.08,169.77,117.02,1509299
2025-03-14,100.33,214.37,149.94,178.23,145.72,2975224
2025-03-15,135.89,220.33,127.44,142.51,190.32,4316787
2025-03-16,102.27,238.13,111.01,122.7,146.3,3214704
2025-03-17,142.15,207.67,96.58,117.65,174.96,3707687
2025-03-18,192.81,235.23,123.38,168.26,181.09,3277588
2025-03-19,127.91,226.86,92.43,186.61,116.58,3269967
2025-03-20,177.95,223.6,126.95,162.21,190.48,4683599
2025-03-21,137.54,223.2,113.07,192.13,115.69,4576414
2025-03-22,176.82,223.82,113.16,115.72,141.51,1413608
2025-03-23,123.97,237.33,90.86,127.02,176.13,3664163
2025-03-24,149.22,209.01,131.44,192.91,172.48,4618736
2025-03-25,121.15,236.27,124.46,166.36,121.82,1274004
2025-03-26,119.44,226.36,96.85,127.15,115.64,2691520
2025-03-27,155.77,214.3,90.61,140.1,153.86,1196013
2025-03-28,181.43,228.7,111.67,144.91,185.56,4859805
2025-03-29,115.95,227.11,126.97,177.13,119.46,1578194
2025-03-30,168.06,213.23,149.73,176.01,104.02,2729317
2025-03-31,179.71,219.71,108.42,126.55,122.6,1398255
2025-04-01,144.11,211.69,91.03,144.01,178.14,1458131
2025-04-02,157.99,243.13,123.03,131.67,123.2,3895402
2025-04-03,121.71,201.66,97.23,113.7,105.51,2127141
2025-04-04,118.4,238.77,109.02,122.97,116.56,1363653
2025-04-05,113.61,247.63,139.15,126.14,171.42,2709965
2025-04-06,158.59,205.16,147.58,140.92,184.56,2458231
2025-04-07,137.35,213.11,140.26,199.31,175.06,1517293
2025-04-08,107.5,245.66,119.36,184.17,167.4,1655374
2025-04-09,161.44,209.57,143.2,111.59,106.03,2202988
2025-04-10,127.8,218.91,112.17,110.59,190.62,1040952
2025-04-11,113.29,208.39,140.87,178.29,197.87,4110735
2025-04-12,145.0,203.87,102.69,137.98,107.81,4373717
2025-04-13,181.96,214.95,93.1,135.16,111.35,3850967
2025-04-14,199.63,221.28,95.95,107.77,114.12,4523225
2025-04-15,154.19,215.98,110.82,191.63,166.59,3352480
2025-04-16,185.97,235.59,130.68,161.97,118.41,4134531
2025-04-17,153.44,241.14,112.12,130.0,193.07,2945651
2025-04-18,141.72,232.13,108.66,188.18,167.01,2705157
2025-04-19,151.35,235.91,125.04,116.15,167.64,1345604
2025-04-20,101.85,200.0,124.41,125.79,128.24,2276041
2025-04-21,183.67,200.29,138.21,157.78,124.44,3450736
2025-04-22,136.88,210.36,103.57,178.71,139.48,3239079
2025-04-23,106.87,239.32,90.47,133.47,140.47,3079437
2025-04-24,124.82,200.63,147.09,134.48,139.64,2686687
2025-04-25,147.33,242.91,129.37,149.72,155.52,3263362
2025-04-26,190.47,220.65,134.9,180.24,136.64,4998180
2025-04-27,102.31,243.23,120.33,177.92,143.9,1032359
2025-04-28,194.89,215.02,107.53,111.15,155.23,2177529
2025-04-29,198.43,201.59,123.48,177.31,160.43,2049128
2025-04-30,166.68,239.91,145.12,113.09,117.67,3345950
2025-05-01,145.16,239.64,141.72,115.49,115.57,3743110
2025-05-02,187.52,249.21,126.98,192.03,195.31,2003229
2025-05-03,174.87,240.91,138.97,137.67,147.84,3999918
2025-05-04,152.41,227.21,126.75,126.36,128.77,1695833
2025-05-05,196.1,215.85,141.08,103.14,160.09,3022918
2025-05-06,173.26,241.28,107.63,185.31,106.79,3042812
2025-05-07,195.18,223.97,149.95,137.18,168.13,3409468
2025-05-08,163.97,225.79,90.31,121.05,140.94,4287046
2025-05-09,136.41,235.87,139.33,135.99,145.05,4596893
