Date,Open,High,Low,Close,Adj Close,Volume
2025-03-10,190.12,242.18,129.28,100.69,102.34,1724828
2025-03-11,102.08,246.15,140.21,197.41,122.94,2955927
2025-03-12,187.81,234.57,135.84,100.6,189.69,4083686
2025-03-13,184.39,231.07,111.7,151.55,182.63,1868386
2025-03-14,178.07,204.17,139.35,147.18,174.19,3915407
2025-03-15,107.08,200.41,103.54,108.93,133.77,4021786
2025-03-16,119.86,222.82,138.53,194.75,172.36,2082880
2025-03-17,124.32,208.72,122.16,143.23,139.21,3262549
2025-03-18,140.96,216.17,100.1,112.35,149.39,3866963
2025-03-19,177.46,202.03,121.84,169.88,196.57,2782422
2025-03-20,165.52,209.75,115.18,126.21,158.43,1172145
2025-03-21,145.87,234.08,96.25,136.85,136.92,1557540
2025-03-22,176.14,228.19,90.61,153.88,164.3,2752425
2025-03-23,178.17,209.65,148.47,183.82,133.08,3245238
2025-03-24,169.07,245.06,126.24,112.49,136.52,4760064
2025-03-25,136.46,223.36,116.46,168.97,144.35,4403660
2025-03-26,129.26,231.18,117.61,153.59,122.06,2595511
2025-03-27,114.05,240.65,91.35,122.6,156.32,4001038
2025-03-28,120.61,222.48,94.52,173.72,118.57,3170005
2025-03-29,112.09,228.1,110.62,154.25,143.92,3546540
2025-03-30,199.18,248.42,99.67,177.56,147.14,2849758
2025-03-31,197.52,235.49,105.97,136.62,145.62,2406691
2025-04-01,172.38,235.68,139.62,177.94,132.48,3704069
2025-04-02,184.7,228.03,99.76,190.48,141.75,4800182
2025-04-03,192.55,208.8,101.88,116.7,102.75,4017700
2025-04-04,109.3,214.95,129.41,151.92,159.27,3659189
2025-04-05,182.91,215.86,126.44,177.47,141.23,1772472
2025-04-06,160.05,214.74,131.77,196.87,174.9,3894612
2025-04-07,168.84,227.63,104.86,145.99,123.35,4121478
2025-04-08,113.21,223.6,143.57,140.4,160.68,1698700
2025-04-09,167.69,216.2,149.8,117.59,190.59,2799962
2025-04-10,165.79,203.27,130.13,104.07,160.19,1920809
2025-04-11,197.31,207.26,107.67,131.25,106.39,3845611
2025-04-12,194.59,236.11,100.05,126.65,166.07,4561865
2025-04-13,150.16,202.1,94.23,120.23,122.13,2072415
2025-04-14,131.89,214.61,124.0,134.54,152.28,1750009
2025-04-15,100.69,200.92,122.53,159.11,104.96,4513766
2025-04-16,107.73,202.75,137.22,120.32,155.42,1932772
2025-04-17,166.2,216.72,95.63,155.79,184.91,3408846
2025-04-18,151.64,209.92,106.83,111.09,171.01,1799407
2025-04-19,103.38,237.75,143.46,109.25,123.43,2895669
2025-04-20,138.88,234.35,100.3,145.21,111.15,2272730
2025-04-21,141.54,246.62,130.94,173.12,125.52,4026603
2025-04-22,139.04,209.68,134.81,151.59,175.31,4867999
2025-04-23,188.54,233.69,124.58,144.09,199.81,4052913
2025-04-24,145.73,212.35,91.01,179.05,105.91,3060052
2025-04-25,192.42,232.53,149.53,175.02,151.45,2842249
2025-04-26,133.38,238.45,97.79,115.05,155.79,2345770
2025-04-27,192.56,247.88,101.38,194.02,117.79,1593626
2025-04-28,131.47,203.09,100.9,158.27,116.58,1722519
2025-04-29,197.04,230.98,137.73,173.83,116.4,2671406
2025-04-30,178.18,220.27,110.66,131.7,160.94,4934007
2025-05-01,164.65,234.66,127.21,177.38,121.38,2427285
2025-05-02,120.87,206.57,128.45,175.36,164.44,3386869
2025-05-03,183.55,246.68,107.92,140.61,132.0,4525561
2025-05-04,167.5,237.33,99.59,138.54,139.04,3373252
2025-05-05,181.53,248.08,91.09,188.99,167.93,3723382
2025-05-06,106.99,239.68,91.97,169.86,146.47,2815400
2025-05-07,141.95,248.96,141.42,161.53,177.63,4534100
2025-05-08,134.84,222.51,122.07,129.36,164.24,1829215
2025-05-09,166.01,230.23,101.4,110.87,103.69,2797717
