Date,Open,High,Low,Close,Adj Close,Volume
2025-03-10,147.18,210.94,97.42,138.05,111.19,4403653
2025-03-11,193.44,242.84,121.66,197.42,151.4,1436121
2025-03-12,189.97,203.99,92.19,193.73,106.58,1455636
2025-03-13,149.01,227.74,144.76,153.48,198.49,3283859
2025-03-14,171.19,225.59,94.92,182.54,154.62,2391259
2025-03-15,183.28,227.58,102.53,152.75,198.39,2016407
2025-03-16,144.02,247.79,145.22,188.23,108.7,4126850
2025-03-17,191.58,234.77,111.04,134.24,175.52,1861619
2025-03-18,190.57,238.08,133.93,198.93,113.64,2193224
2025-03-19,179.54,246.55,129.84,102.42,138.15,3478577
2025-03-20,180.19,232.83,110.0,156.59,185.51,1027439
2025-03-21,126.03,235.83,133.53,169.5,135.23,4154299
2025-03-22,115.75,200.17,142.36,124.58,121.29,3179016
2025-03-23,148.18,242.91,146.88,180.37,176.66,4262448
2025-03-24,179.19,213.6,137.65,107.53,163.49,2059090
2025-03-25,128.51,207.93,91.1,180.45,139.18,2163854
2025-03-26,128.33,231.1,142.61,161.34,191.17,1640533
2025-03-27,191.42,221.28,93.47,124.04,164.73,3119868
2025-03-28,168.25,230.97,141.0,190.1,136.76,1253177
2025-03-29,184.89,235.4,141.53,134.84,139.9,1091521
2025-03-30,162.02,208.9,146.79,124.27,189.68,4349119
2025-03-31,181.61,233.04,91.09,108.49,121.94,4665659
2025-04-01,175.13,229.61,98.7,190.93,164.04,2493035
2025-04-02,106.88,222.79,112.99,183.5,137.86,2454757
2025-04-03,150.08,241.69,137.3,177.26,115.37,4397475
2025-04-04,157.47,234.34,131.7,180.3,161.48,2184165
2025-04-05,185.62,249.8,100.27,163.02,166.6,4671301
2025-04-06,142.29,236.12,117.96,105.85,128.76,4844116
2025-04-07,143.71,232.28,93.72,125.62,183.52,2923042
2025-04-08,106.89,222.1,95.51,195.43,104.52,3613636
2025-04-09,195.47,247.78,90.56,192.12,155.58,2125395
2025-04-10,182.82,225.54,125.63,149.92,178.26,1944761
2025-04-11,123.49,242.96,97.07,157.59,125.89,1297376
2025-04-12,146.81,240.25,92.32,171.64,102.5,2479371
2025-04-13,159.41,234.21,107.04,160.95,142.66,3902767
2025-04-14,169.13,249.35,141.0,165.11,143.74,4106526
2025-04-15,129.93,241.44,104.67,126.55,153.15,2604859
2025-04-16,141.65,207.76,136.21,124.36,129.46,4051810
2025-04-17,115.96,220.4,113.11,185.35,167.59,4678397
2025-04-18,127.72,201.36,145.26,107.36,163.54,1528589
2025-04-19,172.55,241.75,99.58,132.5,147.4,2922843
2025-04-20,120.34,246.45,103.74,123.76,143.72,3889286
2025-04-21,133.51,215.21,118.06,105.06,198.93,3662206
2025-04-22,120.03,226.95,133.14,110.64,192.24,2232713
2025-04-23,131.3,229.82,125.61,135.06,180.15,3671397
2025-04-24,113.82,231.54,91.19,155.05,130.94,4504512
2025-04-25,120.02,231.53,120.31,132.54,143.47,2400030
2025-04-26,167.42,241.73,141.03,170.55,145.66,2130427
2025-04-27,181.43,225.75,138.87,102.28,112.63,2311192
2025-04-28,145.95,214.77,113.31,179.88,163.97,1080710
2025-04-29,182.47,201.9,127.69,181.99,138.04,4537743
2025-04-30,187.87,220.8,134.6,114.22,134.2,1041906
2025-05-01,143.24,242.56,94.24,191.22,122.1,1580619
2025-05-02,162.61,229.48,106.7,187.36,147.99,4910644
2025-05-03,179.49,220.82,125.76,123.48,105.1,1748058
2025-05-04,134.68,207.03,102.95,105.2,154.38,1910030
2025-05-05,180.81,248.13,97.05,188.65,133.98,1385322
2025-05-06,135.91,233.39,144.23,133.02,101.49,2951233
2025-05-07,163.85,211.22,142.46,114.31,197.49,3480889
2025-05-08,185.48,212.67,97.53,124.36,154.96,4548596
2025-05-09,174.94,246.08,102.16,192.7,129.19,1977553
